score,content,cleaned_text,manual_label
3,"Halo ruangguru, awal nya saya memakai ruangguru berjalan dengan lancar dan memuaskan. namun tiba"" akun saya logout sendiri dan tiba"" fitur 'screenshot' di aplikasi tidak bisa di gunakan dan selalu loading lama, dan hasil 'screenshot' nya juga tidak bisa dilihat lagii. padahal fitur itu betul"" saya butuhkan. karena di apk tidak bisa screenshot manual dari bawaan hp. dan saat sesudah loading pasti menampilkan tulisan 'terjadi pada kesalahan sistem kami'. tolong ruangguru segera perbaiki",halo pakai jalan lancar muas akun logout fitur screenshot aplikasi loading hasil screenshot lagi fitur butuh aplikasi screenshot manual bawa loading tampil tulis salah sistem tolong baik,negatif
5,"RUANGGURU EMANG SEBAGUS ITU TOPMARKOTOP COCOK BANGET BUAT YANG NGINCER UNIVERSITAS TOP 3ğŸ¥° banyak fiturnya, bisa ketemu temen temen yang saling ngedukung buat belajar dan menggapai impian, interaksi dengan gurunya juga asik jadi ga bikin ngantuk kalau lagi belajar, kita bisa nanya dan guru nya pasti bakal jawab, dalam satu sesi tu ada satu guru dan satu pengawas, kalau habis sesi juga kita bisa langsung ngerjain drill soal BANYAK YANG MAU AKU JELASIN TAPI GA BISAA LOPYUUU RUANGGURU ğŸ¥°ğŸ¥°ğŸ¥°ğŸ’ğŸ’ğŸ’",emang bagus topmarkotop banget buat yang ngincer universitas fiturnya temu temen ngedukung ajar gapai impi interaksi guru asik tidak ngantuk ajar nanya sesi awas habis sesi langsung ngerja drill banyak yang jelas tapi tidak bisaa lopyu,positif
5,"aplikasinya helpful bangett, paling suka fitur rangkuman, fitur pembagian video,fitur pencari materi,roboguru. krn memudahkan buat nyari materi yg diinginkan di waktu terbatas. (waktu mendekati ujian) . drill soalnya juga membantu, tp kadang kadang, ada bbrp soal yg muncul berulang. saran utk vid pembelajaran kasi subtitle otomatis,biar pas keadaannya ga memungkinkan,ttp bisa pahami isi video. kl bisa khusus yg udh langganan tlg jgn terlalu dksh banyak pop up iklan,sedikit disturbing.",aplikasi helpful banget suka fitur rangkum fitur bagi videofitur cari materiroboguru karena mudah nyari materi batas dekat drill bantu tapi kadang bbrp muncul ulang saran ajar kasi subtitle otomatisbiar tidak mungkinkanttp paham video kalau khus sudah langgan dksh iklansedikit sturbing,positif
4,"Alhamdulillah selama saya mendaftar di ruang guru ini alhamdulilah nilai saya mulai membaik, ya memang tidak langsung 100% benar TPI udah mulai meningkat, dan menurut saya saat saya melihat video pembelajarannya itu mudah difahami, apalagi saya sukanya terkadang ada kuis nyağŸ¤© yuk buruan teman daftar juga, ga maksa yaa,,, yang minat buruan daftar ğŸ˜‰ğŸ‘",alhamdulillah daftar alhamdulilah nilai baik langsung sudah tingkat video ajar mudah fahami suka terkadang kuis buru teman daftar tidak maksa minat buru daftar,positif
1,"Maaf, kenapa, ya? Ketika aku masuk aplikasinya, selalu muncul notifikasi ""Ruangguru tidak ada tanggapan"" dan walaupun udah refresh berkali-kali, bahkan sampai uninstall aplikasinya tetap seperti itu.",maaf tika masuk aplikasi muncul notifikasi tanggap sudah refresh kali uninstall aplikasi,negatif
4,"sebenarnya ini aplikasinya bermanfaat banget, tapi gatau kenapa sering bgt eror, kadang sampe halaman putih gitu, udah dicoba uninstall, terus download lagi masih begitu, ini emang jaringan ku yang salah apa dari sistem dari sananya yg eror",aplikasi manfaat banget gatau banget eror kadang sampe halaman putih gitu sudah coba uninstall download emang jaring salah sistem sana eror,negatif
2,"Aplikasi nya error udah 3 hari gabisa di buka untuk belajar pas di buka layar putih terus hitam keluar lagi gabisa masuk ke apk pdahal saya udah langganan, tolong di perbaiki aplikasi nya",aplikasi error sudah gabisa buka ajar buka layar putih hitam gabisa masuk aplikasi pdahal sudah langgan tolong baik aplikasi,negatif
3,"Aplikasi ruang guru sangat membantu untuk lebih memahami pelajaran karena bisa menonton video, mengikuti live teaching, dan mengerjakan banyak soal Edit: fitur drill soal blum update untuk kurmer sama video ruang belajarnya jg blum lengkap Edit lagi setelah update app: masa pas saya buka bank soal untuk latihan PAS yg ada cuma untuk ipa sm ips? tolong untuk kurmer jg diadakan ya, padahal sebelum update ada untuk kurmer walaupun dikit, sekarang malah gk ada",aplikasi bantu paham ajar video ikut live teaching edit fitur drill blum update kurmer video ajar juga blum lengkap edit update buka bank latih sama tolong kurmer juga update kurmer tidak,negatif
5,"keren! aku langganan BA juga disini, offline class nya seru kakanya ramahÂ². video materi dan latsol di apk ini penjelasannya jelas bangett!! tapi perlu update pembahasan setiap materi mapel biar lebih relevan sama yang diajarkan disekolah.",langgan offline class seru kanya ramah video materi latsol aplikasi jelas banget update bahas materi mapel biar relevan ajar seko,positif
1,"saya baru sekali pake apk ini sekali, tapi setelah beberapa hari ga saya buka aplikasi nya malah ga bisa di buka lagi... padahal saya sudah ambil paket yang 1 tahun, jadi kalo mau pake ini harus log in ulang. ini saya edit, apk ini benerÂ² deh ya masa lama ga di pake pas mau di buka lagi halamannya jadi putih semua ga ada tulisan atau gambar satu pun, awalnya masih optimis bisa dibuka lewat web kaya waktu itu ternyata sama aja putih semua, kecewa ga akan saya pakai lagi apk ini",pake aplikasi tidak buka aplikasi tidak buka ambil paket kalo pake ulang edit aplikasi bener tidak pake buka halaman putih tidak tulis gambar optimis buka kaya saja putih cewa tidak pakai aplikasi,negatif
1,"ngelag terus setiap masuk app keluar lagi padahal ga pencet apa apa tolong dong edit: tetep aja rupanya keluar masuk terus, pembaruan apanya malah jadi app rusak gajelas. mending gausa berlangganan aja kalo ga berguna.",ngelag masuk tidak pencet tolong edit saja masuk baru rusak gajelas nding gausa langgan saja kalo tidak guna,negatif
3,"mantap ga nyesel langganan langsung 1th di ruangguru karena materi, video penjelasan mudah dipahami dengan harga yang terjangkau luvv buat ruangguruğŸ¤©ğŸ˜ edit : jadi bintang 3 karena nelfon nelfon terus tadinya takut siapa soalnya no ga dikenal apalagi telp di pesan bukan di whatsapp lain kali chat aja di wa jangan telpon soalnya banyak penipuan di zaman ini",mantap tidak nyesel langgan langsung materi video jelas mudah paham harga jangkau luvv edit bintang nelfon takut tidak telp pesan whatsapp kali chat saja telpon tipu zaman,netral
3,"bagus tapi banyak jeleknya, dari pemasarannya yang suka spam chat whatsapp udah jelek, terus sistem aplikasinya suka ngelag dan error, padahal pengguna setia rg tapi belum ada perkembangan yang memuaskan bagi pengguna, ngga semua bagian bagian dalam aplikasi bisa di gunakan sepenuhnya kaya roboguru diaku ngelag parahh jadi ngga pernah kepakai, brain academy juga suka error dari sistemnya,suka logout sendiri lagi akunnya, saat mau buka download jg gabisa klo ga ada kuota aneh. sekian terimakasih.",bagus jelek pasar suka spam chat whatsapp sudah jelek sistem aplikasi suka ngelag error guna setia mbang muas guna tidak aplikasi penuh kaya roboguru ngelag parahh tidak pakai academy suka error sistemnyasuka logout akun buka download juga gabisa kalau tidak kuota aneh kian terima kasih,negatif
5,menurut saya aplikasi ini sangat membantu sekali siswa/i sekolah karena penjelasanya sangat mudah untuk dipahami dan ada latihan soalnya langsung pkoknya keren dan berguna cobain deh. sukses selalu untuk ruang guru,aplikasi bantu siswa kolah jasa mudah paham latih langsung pkoknya guna coba sukses,positif
3,"server nya suka ada gangguan sendiri, jadi waktu mau belajar jadi nggak jadi karena gak bisa masuk, tapi memang bagus pol buat belajar soalnya gampang di cerna terus bisa nanya nanya lagi, tapi server nya bikin kesel",server suka ganggu ajar tidak masuk bagus ajar gampang cerna nanya server,negatif
5,"aplikasi nya sangat membantu banget buat aku ngerjain tugas + persiapan tka, saya beruntung bisa langganan di Ruang guru. Tapi mohon untuk server nya di perbaiki lagi, dari kemarin malam saya mau belajar buat persiapan TO hari ini malah ga bisa, bahkan sampai emosi saya. Padahal wifi saya ga ada kendala, buat main game berat lancar banget. Mohon yağŸ™ğŸ™ğŸ™",aplikasi bantu banget ngerja tugas siap untung langgan tapi mohon server baik malam ajar siap tidak emosi padahal wifi tidak ndala game berat lancar banget mohon,negatif
2,"servernya tolong di upgrade lah, masa cuman mau masuk ga bisa gegara server eror, udah tau aplikasi nya bermanfaat ya pasti banyak yang mau masuk ke apk nya, mas iya server nya payahğŸ˜‰",servernya tolong upgrade cuman masuk tidak gegara server eror sudah aplikasi manfaat masuk aplikasi server payah,negatif
4,"min, tolong perbaiki apk nya, terlalu sering pembaruan dan ngelag... sering lemot juga..pdhl kelas offline juga pake apk ini, tolong segara diperbaikiğŸ™ğŸ»",tolong baik aplikasi baru ngelag jugapdhl offline pake aplikasi tolong gara baik,negatif
4,"terkadang ketika di pembahasan angkanya itu terlallu kecil, kuharap akan disertai di update selanjutnya untuk fitur memperbesar, agar bisa melihat angka/hurus yang cukup kecil, contohnya ketika aku melihat pangkat didalam pembahasan mtk, itu terkadang susah untuk dilidilihat",terkadang bahas angka terlalu harap serta update fitur besar angkahurus contoh pangkat dalam bahas terkadang susah lihat,negatif
5,"Menurutku,ini aplikasi belajar terbaik.karena semua pelajaran dan materi ada di ruangguru,bisa latihan soal juga.walaupun masih banyak video yang belum bisa terbuka karena harus berlangganan.tapi aku udah terbantu banget dengan ruangguru.terima kasih ya ruangguru",nurutkuini aplikasi ajar terbaikkarena ajar materi ruanggurubisa latih jugawalaupun video buka berlanggantapi sudah bantu banget ruangguruterima kasih,positif
5,"untuk app nya sudah bagus, tetapi masih ada yang kurang yaitu dibagian materi pembelajarannya contohnya materi vektor fisika sekarang sudah diajarkan di kelas 10 sedangkan jika dilihat dari applikasinya materi ini ada di kelas 11. mungkin bisa disesuaikanğŸ™",bagus bagi materi ajar contoh materi vektor fisika ajar applikasinya materi mungkin suai,netral
1,"tolong ini apk nya knp gak bisa dibuka ya, setiap dibuka cuma muncul layar putih doang trus langsung keluar gitu aja terus berkali-kali diulangi juga tetap sama gimana mau belajar utbk nya, padahal udah berlangganan. Tolong dong diperbaiki lagi apk nya",tolong aplikasi buka muncul layar putih doang trus langsung gitu saja kali ulang gimana ajar utbk sudah langgan tolong baik aplikasi,negatif
5,"sangat baik dan membantu untuk belajar juga materi mudah dipahami dengan visualisasi yang baik.Namun saya berharap pihak ruangguru bisa memperlengkap isi catatan suatu materi.Bila mungkin, disediakan dua versi catatan, yaitu ringkas dan lengkap terimakasih",bantu ajar materi mudah paham visualisasi baiknamun harap lengkap materibila sedia versi ringkas lengkap terima kasih,netral
5,cukup bagus sih aplikasi nya ğŸ˜ tapi ada beberapa yang harus dibayar..tapi gapapa deh kan bermanfaat juga ğŸ‘ğŸ¿ Karena ada fitur belajar untuk anak-anak apa banget juga aku masih anak-anak dan ada fitur foto semoga buat kalian yang download bisa bernilaikan dengan baik ya ğŸ™ğŸ¿ğŸ˜dan jangan lupa aplikasi ini untuk belajar bukan untuk dites-tes saja hanya sekedar infoğŸ˜ğŸ˜ğŸ‘ğŸ¿makasih ya min semoga kedepannya fitur-fitur yang berbayar bisa di buka secara gratis sama adminnyağŸ˜ğŸ˜ bay semuanya,bagus aplikasi bayartapi gapa manfaat karena fitur ajar anak banget anak fitur foto moga download nilai lupa aplikasi ajar infomakasih moga depan fitur bayar buka gratis adminnya,positif
1,"mimiiiiinnn, aku cuma mau belajar miin, kenapa ga bisa dibukaaaa????? ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­ ini bukan masalah jaringan, bahkan jaringan wifi bagus pun tetap lelet, berapa kali aku coba buat buka video pembahasan, selalu gabisa, pasti ada pengumuman ""ada masalah dengan sistem ini"". sekalinya aku re-install dan mau login, udah gabisa. duuhhh, ini kalo seandainya disini bisa ngirim foto, udah aku kirim buktinya min! ini tuh kenapa sebenernya, mau nangis aku, sekalinya pengen rajin belajar, malah jadi gini...",ajar tidak buka jaring wifi bagus kali coba buka video bahas gabisa sistem kali reinstall sudah gabisa duuh kalo anda ngirim foto sudah kirim bukti benernya nang kali ajar,negatif
5,KEREN BANGET di videonya kan ada tuh mau bahas materi nah disitu ada pilihan kita mau yang mana dijelasin nya kayak lagi sekolah padahal itu video nya masih berjalan keren bangeet dan kuis di videonya bisa kita jawab dengan menekan pilihannya kerenn,banget video bahas materi situ pilih jelas kayak kolah video jalan banget kuis video tekan pilih keren,positif
4,"sangat berguna buat belajar, cuman tolong bug nya diperbaiki min. masa aku lagi offline gak punya kuota malah gak bisa buka video yang udah di-download? katanya gak ada internet, bukannya kalo udah di download bisa dibuka tanpa internet? kadang layarnya juga stuck seperti aplikasi yg sangat berat, padahal hp ku bisa menjalankan game berat.",guna ajar cuman tolong baik offline kuota buka video sudah download internet kalo sudah download buka internet kadang layar stuck aplikasi berat jalan game berat,negatif
5,"saat ini saya merupakan anak kelas 12 SMA yang akan menghadapi TKA. bisa ""di TKA ini saya membutuhkan pemahaman materi yang mendalam konsep-konsep dasar supaya saya bisa mengerjakan soal-soal di TKA nanti"" saya merupakan anak yang suka belajar menggunakan VISUAL dan AUDIO. dan RUANGGURU memberikan fasilitas pengajaran sesuai dengan TIPE SAYA. -Materi (Ringkas + Jelas) setelah itu -Muncul Kuis Singkat (Yang membantu Mengingatkan saya ke materi) -Di akhir Materi ada Ulangan yang membantu sekali.",anak hadap butuh paham materi dalam konsep dasar soal anak suka ajar visual audio fasilitas ajar sesuai tipe saya materi ringkas jelas muncul kuis singkat yang bantu ingat materi ulang bantu,positif
5,"Aplikasinya bagus dan kualitasnya tidak mainÂ². Tapi, saran saja, mungkin bisa tambah fitur subtittle ? Karena agak susah kalau nonton video tapi lingkungan sekitar ribut, gak bisa dengarkan suaranya ğŸ˜…",aplikasi bagus kualitas tapi saran mungkin fitur subtittle karena susah nonton video lingkung ribut dengar suara,netral
2,"Untuk aplikasinya sangat baik, namun dari sisi pelayanan sangat kurang. Bantuan hanya diberikan saat proses pembayaran. Setelah itu, ketika saya meminta bantuan terkait akses akun melalui WhatsApp sejak hari Minggu, tidak ada balasan sama sekali. Jika saya gaptek, mungkin saya bisa saja mencari sendiri cara mengakses kelas di internet. Namun, bukan itu poinnya. Masalah ini bukan soal pengguna gaptek atau tidak, melainkan soal komunikasi dan pelayanan kepada pengguna.",untuk aplikasi layan bantu proses bayar telah bantu kait akses akun whatsapp minggu balas jika gaptek cari akses internet namun masalah guna gaptek komunikasi layan guna,negatif
5,"terimakasih ruang guru, sangat membantu dalam belajar anak anak saat mau ikut ujian nanti, penjelasan nya simpel, diterangkan materi dengan detail, banyak soal soal nya, membuat kita akan selalu berlatih dalam belajar.",terima kasih bantu ajar anak jelas simpel terang materi detail latih ajar,positif
3,"1.Tolong benerin masalah kaya total waktu belajar,masa 1 hari keitungnya cuma 2 - 5 menit padahal 1 video bisa 3 - 15 menit dan videonya udah selesai masa dihitung belum selesai. 2.Harusnya Ruangguru bisa buat video baru dengan penjelasan baru yg diupdate per beberapa tahun,masa pake video pembelajaran dari tahun pas covid sampe 2025 masih sama aja. 3.Ruangguru kalo update jangan setengahÂ² kaya hari ini update besok update,giliran dh update eh malah fitur jawab pertanyaannya ngebug.",tolong bener kaya total belajarmasa itungnya video video sudah lesa hitung lesa harus video jelas update tahunmasa pake video ajar covid sampe saja kalo update kaya update besok updategiliran update fitur tanya ngebug,negatif
5,apknya bagus cuma kalau ngga belajar lebih dari 3 hari siap siap dapet notif untuk belajar lagi diruangguru. tapi walau gitu tetep bintang 5 so best for this aplication. tolongiklannya yg ga berkaitan dengan pengembangan nilai dihapus atau diblokir karwna cukup mengganggu pembelajaran.,apknya bagus tidak ajar dapet notif ajar ruangguru gitu bintang best this aplication tolongiklannya tidak kait mbang nilai hapus blokir karwna ganggu ajar,positif
1,"kenapa aplikasi nya gak bisa terbukağŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­ kalau di buka layar hitam muncul trs langsung keluar, saya mau belajar dan latihan soal jadi gak bisaaaaaa TOLONGG SAYA MAU UAS NIEH ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­",aplikasi buka layar hitam muncul terus langsung ajar latih bisa tolong saya nieh,negatif
2,"sering terjadi kesalahan pada sistem dan kadang tidak bisa masuk aplikasi, tolong segera diperbaiki..",salah sistem kadang masuk aplikasi tolong baik,negatif
1,"kecewa, aku langganan untuk tka tpi ga bisa ikut tryout tka nya. pop up nya delalu muncul, tapi setiap di buka selalu ga muncul opsi to tka nya. aku kira emg ga bisa jadi aku belajar biasa aja, cuma pas aku mau cari soal tka di google eh malah muncul opsi dari rg dan pas aku buka ternyata to nya masih ada tpi sayang bangeg aku baru liat pas 20 menit sebelum waktu to selesai jd aku ga bisa apa2 lagi. sumpah, 2 minggu aku bolak balik buat nyoba tpi bnrn sampe akhir pun ga muncul, sedih bangettâ˜¹ï¸",cewa langgan tidak tryout dalu muncul buka tidak muncul opsi tidak ajar saja cari google muncul opsi buka sayang bangeg liat lesa jadi tidak sumpah minggu bolak coba bnrn sampe tidak muncul sedih banget,negatif
5,"setelah pakai Ruang guru semua mapel jadi mudah contoh ni MTK dulu aku gak paham contoh materi bunga dulu aku bingung pas mau masukin angka tapi setelah Join ruang guru aku udah paham semua nya dari rumus, pengertian dan jenis jenis bunga Dan yg paling menarik adalah video penjelasan yang sangat keren dan gak bikin bosen master teacher nya njelasin bikin paham ruangguruisthebest#",pakai mapel mudah contoh paham contoh materi bunga bingung masuk angka sudah paham rumus erti jenis bunga tarik video jelas bosen master teacher njelas paham ruangguruisthebest,netral
1,"Sudah bayar sesuai arahan admin, tiba-tiba dikatakan ada kesalahan dan harus refund. Kalian yang salah, tapi minta saya urus refund yang MENYULITKAN siswa. Refund cair lama, dan LMS saya di block?? MENYUSAHKAN sekali ya. Kapok dan tidak akan pernah pakai jasa kalian.",sudah bayar suai arah tiba salah refund kalian salah urus refund sulit siswa refund cair block susah kapok pakai jasa,negatif
4,"menurut saya aplikasi ini membuat anak menjadi lebih ingin belajar, banyak sekali video belajar nya. Namun kalau dari saya kurangnya kadang-kadang soal yang ada di kuis suka tidak terlihat.ğŸ˜ŠğŸ™",aplikasi anak ajar video ajar namun kalau kurang kadang kuis suka,netral
5,"aplikasi ini luar biasa membuat akunnya juga enggak terlalu sulit dan aku sudah coba di aplikasi ini bisa juga seken mata pelajaran apapun yang kalian mau nah pasti da tinggal pencet ""telusuri apa yang anda mau pelajari"". nah itu saja dari aku agus putra. om shatih-shantih omğŸ™â˜º",aplikasi akun sulit coba aplikasi mata ajar tinggal pencet telusur ajar agus putra shatihshantih,netral
3,"bagus, lengkap, adaptonya juga keren, tapi gak enaknya itu sekalinya mutualan sama ini apk, siap"" ajh di telfon. ini pengalaman pribadi ya. padahal niat dari awal, cuman beli paket ruangbelajar ajh itu udh cukup banget. tapi marketing rg bener"" killer deh sampe nelfon tiba"" tapi bukan pakai WA. awalnya diajak ngobrol deeptalk sampe akhirnya promosi buat upgrade ke brain academy online, kebawa suasana, endingnya duit saya habis sampe 2jt, padahal gak butuh"" banget. mana gak bisa balik lagi.",bagus lengkap adaptonya enak kali mutualan aplikasi telfon alam pribadi niat cuman beli paket ruangbelajar sudah banget marketing bener killer sampe nelfon pakai ajak ngobrol deeptalk sampe promosi upgrade academy online bawa suasana endingnya duit habis sampe butuh banget,netral
1,"materi pelajaran nya bikin bingung, gak lengkap, dan aneh nya waktu pelajaran mtk materi yang di jelasin cuma mudah terus pas kuis tiba tiba ada meteri yg belum di jelasin, mana pas di jelasin cara penyelesaian nya gak niat, yang penting menjelaskan materi tampa mengasihi tahu dari mana hal tersebut muncul, saya sangat menyesal sudah menghabiskan uang ortu untuk ruangbelajar, mending belajar sendiri dan cari di youtube yg lebih jelas dan mudah di pahami.",materi ajar bingung lengkap aneh ajar materi jelas mudah kuis jelas lesa niat materi tampa asih muncul sesal habis uang ortu ruangbelajar nding ajar cari youtube mudah paham,negatif
4,"RG ini aplikasi bagus tapi kenapa ya akhir akhir ini updatenya sering banget dan malah jadi makin jelek. contohnya sekarang kalau drill soal gabisa lebih dari 10 per bab, dan yang paling aneh kita jadi gabisa pilih sub bab di dril soal padahal sebelumnya bisa. mohon segera diperbaiki ya agar kami sebagai pengguna lebih nyaman belajarnya",aplikasi bagus updatenya banget jelek contoh drill gabisa aneh gabisa pilih dril mohon baik guna nyaman ajar,negatif
5,"Ruangguru the best lah pokoknya, materinya pas kayak yg disekolah, jadi pas ulangan jadi gampang ngerjain nya, SAT SETT...ya pokoknya baguss dehhh, kalo aku gunain ruangguru dari kelas 5 SD sampai sekarang kelas 8 SMP...terimakasih ruangguru telah membimbing saya sampai sekarannggg...aplikasi nya bagus syekaliiiiğŸ¤©ğŸ¤©ğŸ¤©",best materi kayak sekolah ulang gampang ngerja ttya bagus kalo guna smp terimakasih bimbing karan aplikasi bagus syekali,positif
3,"sy mengalami kendala dmn hri ini sy menjwb soal kuis akhir pda fitur persiapan utbk, setelah sy menjwb soal dan mengakhiri kuis, sy melihat skor sy sangat rendah sy berpikir jwbn sy slah, ketika sy melihat pembahasan soal, sy bingung krn awalnya sy memilih pilihan c dan pada pembahasan pilihan tersebut bnr, namun sy heran pilihan yang awalnya c berubah menjadi d, saya mengulangi kuis untk memastikan, namun hasilnya sama sj, sdh terjdi beberapa kli, fitur yg sdng bermslh, mhn perbaikannyağŸ™ğŸ»",alami ndala njwb kuis fitur siap utbk njwb kuis skor rendah pikir jwbn slah bahas bingung karena pilih bahas pilih heran pilih ubah ulang kuis untk hasil terjdi fitur sdng bermslh baik,netral
5,"ngeselin banget, fiturnya ga lengkap padahal udah keluar 8**k mana fitur ai gada di apk nya harus lewat link(sengaja ngasih bintang 5 biar ulasan ku naik). and the last energi ai ku tiba2 habis padahal ga kepake wkwk",ngesel banget fiturnya tidak lengkap sudah fitur gada aplikasi linksengaja ngasih bintang biar ulas last energi habis tidak pake,negatif
1,"sumpah ya, cs nya ga bgt, pernah sampe nanya hal sensitif dan ga ramah bgt. ribet gajelas padahal aplikasinya bagus tapi cs nya woww big no bgt. ini kalo bintangnya bisa mines tak hingga pun kukasi karna csnya red flag! tolong ya diperbaiki cs sombong nya itu.",sumpah tidak banget sampe nanya nsitif tidak ramah banget ribet gajelas aplikasi bagus banget kalo bintang karna csnya flag tolong baik sombong,negatif
